stride,sum,time (msec),rate (MB/s)
1,1000000.000000,2.779000,2745.374067
2,1000000.000000,2.926000,2607.448575
3,1000000.000000,2.880000,2649.095323
4,1000000.000000,3.227000,2364.237537
5,1000000.000000,3.410000,2237.359100
6,1000000.000000,4.273000,1785.489008
7,1000000.000000,4.173000,1828.275708
8,1000000.000000,3.916000,1948.262138
9,1000000.000000,4.420000,1726.107360
10,1000000.000000,5.079000,1502.145015
11,1000000.000000,4.936000,1545.663398
12,1000000.000000,5.332000,1430.869192
13,1000000.000000,6.489000,1175.742723
14,1000000.000000,5.557000,1372.934053
15,1000000.000000,6.428000,1186.900207
16,1000000.000000,5.660000,1347.949564
17,1000000.000000,5.741000,1328.931289
18,1000000.000000,6.381000,1195.642459
19,1000000.000000,6.441000,1184.504663
20,1000000.000000,6.263000,1218.169333

