type,U,ms,sum
double,1,1.174540,500006.610053
double,2,0.777272,500006.610053
double,4,0.761962,500006.610053
double,8,0.732096,500006.610053
double,16,0.759528,500006.610053
double,32,0.808752,500006.610053
float,1,0.791419,500003.750000
float,2,0.760650,500003.750000
float,4,0.754198,500003.750000
float,8,0.783203,500003.750000
float,16,0.751743,500003.750000
float,32,0.751853,500003.750000
int,1,0.352722,49498583
int,2,0.258432,49498583
int,4,0.176005,49498583
int,8,0.203017,49498583
int,16,0.156329,49498583
int,32,0.173180,49498583
short,1,0.166498,49498583
short,2,0.196534,49498583
short,4,0.153402,49498583
short,8,0.152811,49498583
short,16,0.151138,49498583
short,32,0.204089,49498583
