version,threads,time,speedup,efficiency,result_sum
serial,0,2.948193,1.000,1.000,-3725610.195465
naive,1,2.776935,1.062,1.062,-3725610.195465
naive,2,2.753342,1.071,0.535,-3725610.195465
naive,3,2.564641,1.150,0.383,-3725610.195465
naive,4,3.094079,0.953,0.238,-3725610.195465
naive,8,2.789708,1.057,0.132,-3725610.195465
optimized,1,3.754935,0.785,0.785,-3725610.195465
optimized,2,2.177518,1.354,0.677,-3725610.195465
optimized,3,1.359005,2.169,0.723,-3725610.195465
optimized,4,1.149511,2.565,0.641,-3725610.195465
optimized,8,1.079406,2.731,0.341,-3725610.195465
